Name,AlternateName,logo (URL angeben),Description,startDate,URL,"sameAs (Twitter, FB etc.)",license(s),openness,Email,Language(s),Audience,Topic,Provider_Id,Provider_Name,Provider_AlternateName,Provider_logo,Provider_Description,Provider_URL,"Provider_sameAs (Twitter, FB etc.)",Provider_AddressCountry,Provider_AddressCity,Provider_Region,Provider_StreetAddress,Provider_PostalCode,Provider_Email,Tag,COMMENTS:,Provider2_Name,Provider2_AlternateName,Provider2_logo,Provider2_Description,Provider2_URL,"Provider2_sameAs (Twitter, FB etc.)",Provider2_AddressCountry,Provider2_AddressCity,Provider2_Region,Provider2_StreetAddress,Provider2_PostalCode,Provider2_Email,Tag
Everything Maths,,http://siyavula.com/wp-content/uploads/2013/12/everything-logo2.png,Technology-powered learning for Maths and Science,2011, http://everythingmaths.co.za/,"https://twitter.com/Siyavula
https://www.facebook.com/siyavula","Except where otherwise noted, this site is covered by a closed copyright license. All rights reserved.",You have to sign uo to get the information,,"en, af",3,05,95ac0fbe-2fb6-11e5-9361-001999ac7927,Siyavula,,http://www.everythingmaths.co.za/++theme++emas.theme/images/logo.png,Harnessing technology and openness to revolutionise education,http://www.siyavula.com/,,ZA,Cape Town,Westkap,"Siyavula Education, 27 Buitenkant St",,,Teachers Guide,You have to sign up to get the information,,,,,,,,,,,,,
First World War Poetry Digital Archive,,https://digital1418.files.wordpress.com/2014/02/ww1-poetry-archive.jpg?w=240&h=57,First World War Poetry Digital Archive (based at the University of Oxford) made available to the general public a wide array of archival resources relating to literature of the First World War. ,2008, http://www.oucs.ox.ac.uk/ww1lit/,"https://twitter.com/intent/follow?screen_name=ww1lit
https://www.facebook.com/The-First-World-War-Poetry-Digital-Archive-47396039756/timeline/","Anyone is entitled to use the material for Educational Purposes (means for the purpose of education, teaching, distance learning, private study and/or research) but not for Commercial Purposes (i.e. selling or reselling the material or using it for any commercial gain). Users may:

    copy items and save them;
    print the items;
    excerpt, annotate, aggregate and modify the items;

    use the items in virtual learning environments, managed learning environments and in any material to be used in the course of instruction. Course and study packs in non-electronic non-print perceptible form, such as Braille, may also be created;
    distribute, communicate and make available the items, to the public in any form and in any media whether now known or hereafter created as long as it is for educational non-commercial purposes;
    publicly display or publicly perform parts of the Licensed Work as part of a presentation at a seminar, conference, or workshop, or other such similar activity;
    deposit the items or parts in any kind or type of repository.

All the material presented here is made available under the JISC Model Licence and the HEFCE Licence for the digitization projects running under the JISC Digitisation Programme Phase 2.

Every effort has been made to clear copyright on all the material used. Should anyone know of any oversight please contact the site maintainers immediately.",,,en,"0, 1, 2, 3, 4, 5, 6",0232,,University of Oxford,,http://www.bsg.ox.ac.uk/sites/www.bsg.ox.ac.uk/themes/bsg/css/images/logos/ox-logo-square.png,"Oxford is a world-leading centre of learning, teaching and research and the oldest university in the English-speaking world.",http://www.ox.ac.uk/,"https://www.youtube.com/user/oxford
https://www.facebook.com/the.university.of.oxford
https://twitter.com/uniofoxford
https://www.linkedin.com/company/4477?trk=prof-exp-company-name
https://instagram.com/oxford_uni/
https://plus.google.com/100268566132168292975/videos",GB,Oxford,Oxfordshire,Wellington Square,OX1 2JD,,,,,,,,,,,,,,,,
FREIburger Multimedia Object Repository,FREIMORE,http://freimore.uni-freiburg.de/templates/master/template_mycoresample-1/IMAGES/freimore.gif," FREIMORE ist ein Repository zur Speicherung, Suche und Präsentation von Multimediaobjekten. Dahinter steht eine Datenbank, eine Technik zum kontinuierlichen Ausgeben ('streamen') von mehrfach angeforderten Objekten und eine Anwendungssoftware zum Bereitstellen aller notwendigen Funktionen. 
FREIMORE ist als zentrales Portal der Universität Freiburg für Forschung, Lehre und Lernen gedacht. Alle Fachbereiche können dort Multimediaobjekte ablegen und sie für einen begrenzten oder unbegrenzten Zugang bereitstellen. ",2001, http://freimore.uni-freiburg.de/,,"Rechte: alles frei
 / keine",,freimore@rz.uni-freiburg.de ,de,"0, 1, 2, 3, 4, 5, 6","021, 0214, 0232",,Universität Freiburg,Albert-Ludwigs-Universität Freiburg,https://www.uni-freiburg.de/,"Already a comprehensive university at its founding in 1457, the University of Freiburg still offers undergraduate and graduate studies as well as professorial qualification in all important disciplines today: the humanities, natural and engineering sciences, medicine, law, and theology. This diversity also provides an ideal environment for innovative interdisciplinary studies.",https://www.uni-freiburg.de/,"https://www.facebook.com/presseunifreiburg
https://twitter.com/PresseUniFR
https://instagram.com/unifreiburg/",DE,Freiburg,,Friedrichstr. 39,79098,info@verwaltung.uni-freiburg.de,,,,,,,,,,,,,,,
Geoscience Data Repository,,https://upload.wikimedia.org/wikipedia/en/8/84/NRCAN_Logo.png,Geoscience Data Repository for Geophysical Data,,http://www.nrcan.gc.ca/earth-sciences/resources/data/10788,"https://twitter.com/NRCan
https://www.youtube.com/user/NaturalResourcesCa
",Open Government Licence - Canada (http://open.canada.ca/en/open-government-licence-canada),,STIP/PSST@NRCan-RNCan.gc.ca,"en, fr",,"0522, 05",,Government of Canada,,https://www.canadianopendataexperience.ca/inc/img/canada-logo.png,"The Government of Canada (French: Gouvernement du Canada), formally Her Majesty's Government (French: Gouvernement de Sa Majesté), is the federal administration of Canada. In Canadian English, the term can mean either the collective set of institutions or specifically the Queen-in-Council. In both senses, the construct was established at Confederation—through the Constitution Act, 1867—as a federal constitutional monarchy, wherein the Canadian Crown acts as the core, or ""the most basic building block,"" of its Westminster-style parliamentary democracy. The Crown is thus the foundation of the executive, legislative, and judicial branches of the Canadian government. Further elements of governance are outlined in the rest of the Canadian constitution, which includes written statutes, court rulings, and unwritten conventions developed over centuries.",http://www.canada.ca/en/,"https://www.facebook.com/CanadaGovPol
https://twitter.com/canada
https://de.pinterest.com/kindersurprise1/canadian-government/",CA,Ottawa,National Capital Region,2323 Riverside Dr,ON K1H,,,There do exist different addresses for buildings of the government.,,,,,,,,,,,,,
Hum Box,,http://www.english.heacademy.ac.uk/scripts/file.php?image_id=3,"The HumBox website was created by the HumBox project. This project was part of a wider Open Educational Resources initiative funded by the JISC (Joint Information Systems Committee) and the HEA, to showcase UK Higher Education by encouraging teachers within HE institutions to publish excellent teaching and learning resources openly on the web.",2008, http://humbox.ac.uk/,,"CC BY, CC BY-ND, CC BY-NC-SA",,humbox@soton.ac.uk,en,,"022, 02311-nl, 0231-uk",,"EdShare (University of Southampton, School of Electronics and Computer Science)",,,"EdShare is a set of extentions to EPrints which create rich content teaching and learning repositories with a Web 2.0 twist. The goal of the software is to make it trivial to create, share and remix everyday teaching materials in a collaborative environment. Both EdShare and EPrints are open source and designed to be easily customisable to your individual needs.
As well as installing the full EdShare suite it is also possible to augment other kinds of repository with EdShare's rich content features. These features include in-place previews, commenting, dynamic toolbox and flexible viewing and editing permissions",http://www.edshare.org.uk/,"https://www.facebook.com/ECSUoS
https://www.youtube.com/playlist?list=PLiOKB0fHoQ1mtlOQe31U432d0pZA0114h",GB,Southampton,Hampshire,University Road,SO17 1BJ,international@southampton.ac.uk,,,,,,,,,,,,,,,
I-Berry,The Academic Porthole,,"iBerry provides information and resources for online learners, researchers, educators and anyone else with an interest in adult education. iBerry is non-profit making with no commercial or institutional affiliation.",, http://iberry.com/,https://twitter.com/iBerry_,CC BY-NC (We authorize you to view and download copies of the information on this site only for non-profit use),,,en,"5, 6","02, 0532, 091, 0541, 0611, 05, 03",,-,-,-,-,-,-,United KiGBngdom,Malvern,Worcestershire,,,,,Do not seem to have a Provider,,,,,,,,,,,,,
ITSON repositorio de objetos de aprendizaje,OA,http://biblioteca.itson.mx/oa/nw_img/principal_r2_c1.jpg,"         
Actualmente, para la Educación Superior es importante que se planteen alternativas para la utilización de las Tecnologías de Información y Comunicación (TIC’s) dentro de los programas curriculares, con la creación de actividades multimedia para la enseñanza, conocidos con el nombre de Objeto de Aprendizaje (OA) en apoyo a la formación de sus estudiantes, haciendo énfasis en su capacidad para utilizarse una y otra vez, en cualquier contexto y sin necesidad de poseer requerimientos previos.",, http://biblioteca.itson.mx/oa/principal.htm,,"depends on the author, CC BY",,solicitudceve@itson.mx,es,3,"003, 01, 0313, 07, 0114, 041, 0415, 0715, 0541",,Instituto Tecnológico de Sonora,ITSON,http://www.brandsoftheworld.com/sites/default/files/styles/logo-thumbnail/public/0022/5736/brand.gif?itok=b3CGkxJU,"The Sonora Institute of Technology (ITSON) is an institution committed with social development; it has more than 18,000 students and experts that offer education services, research and development focused in the improvement of the well-being, self-sufficiency, health, and survival of the communities where it has presence.
ITSON was established in 1955 as a project of the community that was looking for the offering of new educational opportunities. The initial effort for establishing ITSON was headed by The Lions Club International, Ciudad Obregon Chapter.",http://www.itson.mx/Paginas/index.aspx,"https://www.facebook.com/pages/ITSON-Centro/214733861870435
https://twitter.com/itson
https://plus.google.com/101419720553635643604/posts
https://www.youtube.com/user/ITSONOFICIAL",MX,Ciudad Obregón,Sonora,"5 de Febrero 818 sur, Col. Centro",85000,,Teachers Guide,,,,,,,,,,,,,,
Jorum,,http://www.jorum.ac.uk/wp-content/themes/kube/img/logo-jorum-mobile.png,"The UK's largest repository for discovering and sharing Open Educational Resources for HE, FE and Skills",2002, http://www.jorum.ac.uk/,"https://www.facebook.com/Jorumupdate
https://twitter.com/JorumTeam
https://www.youtube.com/playlist?list=PL957AA992B8E76D22&feature=view_all
https://vimeo.com/jorum","Except where otherwise stated, the work of the page is licensed under CC BY-SA",, jorum@jisc.ac.uk,en,"5, 6, non formal","02, 04, 01, 07, 023, 05, 054, 0611, 091, 0911, 053, 03",,Jisc,,https://ux.jisc.ac.uk/ui/img/jisc-logo.png,"Jisc is a registered charity and declares itself a ""champion"" at the use of digital technologies in UK education and research",https://www.jisc.ac.uk/,"https://www.youtube.com/user/JISCmedia
https://www.facebook.com/jiscsocial
https://twitter.com/jisc",GB,London,,"Brettenham House, 5 Lancaster Place",WC2E7EN,customerservices@jisc.ac.uk,,,,,,,,,,,,,,,
Kursnavet,,,"Kursnavet är en lärresursbank på internet fritt tillgänglig för alla.
Kursnavet rymmer digitala lärresurser av gymnasiekurser som går att använda ett och ett eller tillsammans med andra. ",, http://www.kursnavet.se/,,"Kursnavet ist frei zugänglich für alle über das Internet. Die Inhalte des Kursnavet sind urheberrechtlich (copyright) geschützt. Kursnavets Inhalte dürfen ausschließlich für Bildungszwecke verwendet werden. Geben Sie immer die Quelle an und verweisen Sie gerne auf kursnavet.se.
Man hat kein Recht, für heruntergeladenen Lehrinhalte von Kursnavet hochzuladen. Mit dem Hochladen Ihrer eigenen Inhalte auf Kursnavet stimmen Sie einem kostenlosen Zugriffsrecht auf allen Veröffentlichungen zu Lehrzwecken an. Sie können nur Objekte auf Kursnavet.se hochladen, bei denen Sie selbst das Urheberrecht besitzen oder die Erlaubnis dazu haben.",,ulfsan@gmail.com,sv,"2, 3","0511, 0541, 023, 041",,Härnösands kommun,Härnösand,http://www.emmajohansson.com/wp-content/uploads/2007/08/H%C3%A4rn%C3%B6sands_logotyp.jpg,,http://www.harnosand.se/2.76396c6112aa7b11f9280003122.html,,SE,Härnösand,Västernorrlands län,,871 80,kommun@harnosand.se ,,,Svenska Riksorganisationen för Distansutbildning,SVERD,http://www.sverd.se/wp-content/uploads/2013/02/Sverd_logo_100.jpg,Swedish National Organization for Distance Education (Sverd) is a professional organization for all those involved in distance learning and flexible learning in Sweden.,http://www.sverd.se/,,Sweden,Härnösand,Västernorrlands län,,"Box 3033, 87103 Härnösand",kansliet@sverd.se,
La Flor (Laclo),Flor,http://laflor.laclo.org/images/logoFlor.png,,, http://laflor.laclo.org/,,,,,,,,,Ariadne Foundation,,http://www.agroknow.gr/agroknow/sites/default/files/networks/net4.jpg,The ARIADNE Foundation is a not-for-profit association.,http://www.ariadne-eu.org/,https://twitter.com/Ariadne_eu,BE,Leuven,,,,,,"Beta Site, didn't work properly, if you click on a resource, it sends you toBanco Internacional de Objetos Educacionais or couldn't open it at all",,,,,,,,,,,,,
OpenLearn Works,,http://www.open.edu/openlearnworks/theme/image.php/openlearnworks/theme/1443690258/openlearn_works_logo,"OpenLearn Works is an innovative leading open educational platform where individuals and organisations can publish their open content, open courses and resources. It is a Moodle platform and has tools for collaboration, reuse and remixing.",2006,http://www.open.edu/openlearnworks/,,"Except for third party materials and otherwise stated, content on the site is CC BY-NC-ND",You have to sign up to receive requested information,openlearnworks@open.ac.uk,en,"3, 4, 5, 6",,f28009b2-3b5e-11e5-8709-54ee7558c81f,,,,,,,,,,,,,,Searching for topics does not work 21.09.15,,,,,,,,,,,,,
LeMill,,http://lemill.net/images/logo_content.png,"Le Mill is an online community for 'finding, authoring and sharing' open educational resources (OER). Le Mill was developed by the LeMill team led by the Learning Environments Research Group of Media Lab at the University of Art and Design Helsinki, Finland (now part of Aalto University)",,http://lemill.net/,,,You have to sign up to receive requested information,,"cs, de, en, es, et, fi, fr, hu, ka, lt, pl, pt-br, ro, ru, se",,,,University of Art and Design Helsinki,Aalto University,,http://aaltofimedia5.aalto.fi/style2013/img/taik/aalto-logo-en-1.gif,http://arts.aalto.fi/en/,"https://www.facebook.com/pages/Aalto-University-School-of-Arts-Design-and-Architecture/306336389402777
https://twitter.com/aaltoarts
https://www.pinterest.com/helenahyvnen/aalto-university/
https://instagram.com/aaltouniversity/
https://www.youtube.com/user/aaltouniversity",FI,Helsinki,,Hämeentie 135 C,00560,,,"Website only works for a few seconds, was not able to open resources",,,,,,,,,,,,,
Matematica Mutimidia,M3,https://lh4.googleusercontent.com/-0zLzR5ePsQg/TWh5_KM_CnI/AAAAAAAABN8/UyFpAwTY4C4/s1600/M3.png,"É o portal principal da coleção M³ Matemática Multimídia, que contém recursos educacionais multimídia em formatos digitais desenvolvidos pela Unicamp com financiamento do FNDE, SED, MCT e MEC para o Ensino Médio de Matemática no Brasil.",2007, http://www.m3.mat.br/,,Not able to read,,samuel@ime.unicamp.br,pt,3,054,,Universidade Estadual de Campinas,UNICAMP,http://sites.ifi.unicamp.br/alegre/files/2011/07/unicamp_logo-267x300.jpg,"Unicamp is an independent and autonomous university in terms of its educational policies, but financially, the university is subordinated to the State Government of São Paulo that provides funds for its operation. Thus, financial resources are derived mainly from the State Government of Sao Paulo and also from national and international institutions that promove the development through education and research.",http://www.unicamp.br/unicamp/,,BR,"Cidade Universitária ""Zeferino Vaz"",Campinas",São Paulo,Barão Geraldo,CEP: 13083-970,,,,,,,,,,,,,,,,
Materialeplatformen,,,,,http://materialeplatform.emu.dk/materialer/index.jsp,,Not able to find in danish,,,,"0, 1, 2, 3, 4, 5, 6",,,"Ministeriet for Børn, Undervisning og Ligestilling",,http://www.uvm.dk/~/media/UVM/Billeder/Logoer/150707%20UVM_web_266x109.png,,,,DK,Copenhagen,Hovedstaden,"

Vester Voldgade 123",DK-1552,stil@stil.dk,,Content gratis and for purchase,,,,,,,,,,,,,
MathWorld,,,A free resource from Wolfram Research built with Mathematica technology,1995, http://mathworld.wolfram.com/,,"
Readers are encouraged to use the contents of these pages for education and enjoyment, but these pages may not be copied, mirrored, redistributed, printed, or reproduced in bulk without permission. Reproduction for commercial purposes is not permitted, nor is use of robots to create archival copies.
Limited use of material for academic research and teaching is permitted, providing conventional citation standards are followed. Access to the MathWorld website will be blocked to subnets violating these terms. Indiscriminant use of prefetching results in bandwidth degredation for other MathWorld users and may violate the above proscription against bulk downloading. Since excessive use of prefetching has resulted in extensive imposition of blocking, MathWorld now denies access to prefetching software and browsers. To re-enable access, you can simply turn off prefetching in your browser.
Contributions are welcome. All contributions will be reviewed for correctness and suitability, and may be edited for content and/or presentation. Material should be specific, concise, verifiable, and preferably useful and interesting. Every attempt will be made to recognize contributors for their assistance, and to identify contributed entries on the MathWorld website.
When making a submission, unless you request otherwise, you are granting non-exclusive permission to include contributed material (or edited versions thereof) in MathWorld, as well as in any derivative works in any medium, including but not limited to book form or CD-ROM as further indicated in the permission form. Please see the FAQ on contributing for additional details about the formatting and submission of contributed material.",,,,,,,,,,,,,GB,,,,,,,,,,,,,,,,,,,,
National Learning Network,nln,https://pbs.twimg.com/profile_images/578409033071243265/CSt4hHt9_400x400.png,"collect from anywhere, share with anyone (gather, craft, share, collaborate)",, http://www.nln.ac.uk/,"https://www.facebook.com/xtLearn
https://twitter.com/xtlearn","The text of this page (but not images, video or other media) is available for modification and reuse under the terms of the
Creative Commons Attribution-Sharealike 3.0 Unported License and the GNU Free Documentation License.",restriction: you have to sign up to be able to get the information,,en,"0, 1, 2, 3, 4, 5, 6","04, 023, 0222, 0313, 0541, 0314",,The Education & Training Foundation,ET-Foundation,http://et-foundation.co.uk/wp-content/uploads/2014/04/Logo-reversed-out.jpg,,http://www.et-foundation.co.uk/,"https://twitter.com/E_T_Foundation
https://www.youtube.com/channel/UCEKM_NnfNB-XPosOENe9uJg
https://www.linkedin.com/company/the-education-and-training-foundation
https://storify.com/E_T_Foundation",GB,London,London,"157-159 Buckingham Palace Road,",SW1W 9SP,enquiries@etfoundation.co.uk,,restriction: you have to sign up to be able to get the information,,,,,,,,,,,,,
National Science Digital Library,NSDL,http://ilmu.mobi/images/channels/nsdl-1.png,"The United States' National Science Digital Library (NSDL) is an open-access online digital library and collaborative network of disciplinary and grade-level focused education providers. NSDL's mission is to provide quality digital learning collections to the science, technology, engineering, and mathematics (STEM) education community, both formal and informal, institutional and individual. NSDL's collections are refined by a network of STEM educational and disciplinary professionals. Their work is based on user data, disciplinary knowledge, and participation in the evolution of digital resources as major elements of effective STEM learning.",2000, http://nsdl.org/,"https://www.facebook.com/OER-Commons-197344756972678/timeline/
https://twitter.com/oercommons"," A project created by ISKME. Except where otherwise noted, content on this site is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 License CC NC - SA,",some resources a only available for purchase,,English,"0, 1, 2, 3, 4, 5, 6","0611, 07, 01, 0222, 042, 0312, 03, 08, 054, 053, 0531, 0533, 05",,National Science Foundation,NSF,http://www.nsf.gov/images/logos/nsf4.jpg,"The National Science Foundation (NSF) is a United States government agency that supports fundamental research and education in all the non-medical fields of science and engineering. IWith an annual budget of about US$7.0 billion (fiscal year 2012), the NSF funds approximately 20% of all federally supported basic research conducted by the United States' colleges and universities.[1] In some fields, such as mathematics, computer science, economics and the social sciences, the NSF is the major source of federal backing.",http://www.nsf.gov/,"https://www.facebook.com/US.NSF
https://twitter.com/NSF
https://www.linkedin.com/company/national-science-foundation
https://www.youtube.com/user/VideosatNSF
https://www.flickr.com/photos/nsf_beta/
http://nationalsciencefoundation.tumblr.com/",US,Arlington,Virginia,4201 Wilson Boulevard,22230,webmaster@nsf.gov,,,,,,,,,,,,,,,
National Energy Education Development Project,NEED,http://www.need.org/images/logo.png,"The mission of the NEED Project is to promote an energy conscious and educated society by creating effective networks of students, educators, business, government and community leaders to design and deliver objective, multi-sided energy education programs.",1980,http://need.org,"https://www.facebook.com/NEEDProject
https://twitter.com/need_project
https://instagram.com/theneedproject/
https://www.pinterest.com/needproject/",,,info@need.org,,"0, 1, 2, Teacher's Guide","05, 0532",,,,,,,,,,,,,,,Did send an E-Mail to clarify who is the Provider,,,,,,,,,,,,,
Nasjonal digital læringsarena,NLDA,http://ndla.no/sites/default/files/images/ndla_svart_norsk.png,"Norwegian Digital Learning Arena (NDLA) (Norwegian: Nasjonal digital læringsarena) is a joint county enterprise offering open digital learning assets for upper secondary education. In addition to being a compilation of open educational resources (OER), NDLA provides a range of other online tools for sharing and cooperation. The legal liability for the joint county programme is carried by Hordaland County Council.",2007, http://ndla.no,"https://www.facebook.com/ndla.no
https://twitter.com/ndla_no
https://plus.google.com/+ndlano/posts
https://www.youtube.com/user/videoNDLA","CC BY-SA, CC BY-NC-ND, CC BY-NC-SA",,,no,"2, 3 ","023, 0222, 0541, 031, 0214, 09, 08, 103, 104, 0232, 0413, 0511, ",,Hordaland County Municipality,,http://www.hordaland.no/graphics/HFK_stor.png,"The main responsibilities of the county municipality includes the running of 46 upper secondary schools, with 17,000 pupils. It manages all the county roadways, public transport, dental care, culture, and cultural heritage sites in the county.",http://www.hordaland.no/,"https://www.facebook.com/hordaland
https://www.linkedin.com/company/hordaland-fylkeskommune
https://twitter.com/hordaland_no
https://www.flickr.com/photos/hordalandfk/sets/
https://www.youtube.com/user/Hordalandfk
https://instagram.com/hordaland_no/",NO,,,,5020,hfk@hfk.no,,,,,,,,,,,,,,,
OER Commons,,http://www.technapex.com/wp-content/uploads/2013/09/OER-logo.jpg,OER Commons is a freely accessible online library that allows teachers and others to search and discover open educational resources (OER) and other freely available instructional materials.,2007, http://oercommons.org/,"https://www.facebook.com/OER-Commons-197344756972678/timeline/
https://twitter.com/oercommons",CC BY-NC-SA,,info@oercommons.org,en,"1, 2, 3, informal education","073, 0611, 07, 0521, 091, 06, 02, 0222, 023, 0232, 0215, 0223, 0221, 04, 03, 0413, 0414, 081, 042, 0211, 0214, 01, 0511, 0541, 053, 03",,Institute for the Study of Knowledge Management in Education,ISKME,https://oercommons.s3.amazonaws.com/media/upload/landingpages/design-challenge/slides/08072013_ISKME-Logo-copy.png,"The Institute for the Study of Knowledge Management in Education (ISKME), is a 501(c)(3) non-profit organization founded in 2002. Located in Half Moon Bay, California, its mission is to help schools, colleges, and other educational institutions to gather and use data, share information, and make knowledge openly accessible to students, educators, and the public.",http://www.iskme.org/,"https://www.facebook.com/#!/group.php?gid=53333131798
https://twitter.com/iskme",US,Half Moon Bay,California,323 Harvard Ave,94019,,,,,,,,,,,,,,,,
OER Online Archive,,https://upload.wikimedia.org/wikipedia/commons/a/a7/Internet_Archive_logo_and_wordmark.png,"Internet Archive is a non-profit library of millions of free books, movies, software, music, and more.",1996, http://www.archive.org/,"https://www.facebook.com/internetnetarchive
https://twitter.com/internetarchive","Some of the content available through the Archive may be governed by local, national, and/or international laws and regulations, and your use of such content is solely at your own risk. You agree to abide by all applicable laws and regulations, including intellectual property laws, in connection with your use of the Archive. In particular, you certify that your use of any part of the Archive's Collections will be limited to noninfringing or fair use under copyright law. If a Creative Commons or other license has been declared for particular material on the Archive, to the extent you trust the declaration and declarer (which is rarely the Internet Archive), you may use the content according to the terms and conditions of the applicable license. In using the Archive's site, Collections, and/or services, you further agree (a) not to violate anyone's rights of privacy, (b) not to act in any way that might give rise to civil or criminal liability, (c) not to use or attempt to use another person's password, (d) not to collect or store personal data about anyone, (e) not to infringe any copyright, trademark, patent, or other proprietary rights of any person, (f) not to transmit or facilitate the transmission of unsolicited email (""spam""), (g) not to harass, threaten, or otherwise annoy anyone, and (h) not to act in any way that might be harmful to minors, including, without limitation, transmitting or facilitating the transmission of child pornography, which is prohibited by federal law and may be reported to the authorities should it be discovered by the Archive.",,info@archive.org,en,"0, 1, 2, 3, 4, 5, 6","0231-sco, 0231-baq, 0231-id",b2be35d0-78a1-11e5-81fb-001999ac7927,Internet Archive,,,,,,US,San Francisco,California,300 Funston Avenue,94118,,,,,,,,,,,,,,,,
Open Educational Resources for Typography,OERT,http://conceptdezain.com/blog/wp-content/uploads/2014/06/oert-600x400.jpg,"Open Educational Resources for Typography (OERT) is an open educational project available to everyone who wishes to broaden their knowledge of typography: students, teachers, or individuals interested in the subject. ",1994, http://www.oert.org/,"http://www.facebook.com/oert.org
http://twitter.com/OertOrg",CC BY-SA,,info@oert.org,"es, en","2, 3, 4 ",02,,,,,,,,,,,,,,Teachers Guide,Did send an E-Mail to find out who the Provider is (01.10.2015),,,,,,,,,,,,,
OpenLearnWare,OLW,http://www.e-learning.tu-darmstadt.de/media/elc/__relaunch/_logos/olw/olw_logo_support_120x0.png,Als Teil der weltweiten Bildungsinitiative für Open Educational Resources setzten sie sich mit OpenLearnWare für den freien Zugang und Austausch von Lernmaterialien ein.,2009, https://openlearnware.hrz.tu-darmstadt.de/,"https://twitter.com/openlearnware
https://github.com/olw","CC BY-SA, CC BY-NC-ND",,e-learning@hrz.tu-darmstadt.de,"de, en","5, 6","07, 073, 054, 053, 0312, 042, 0311, 1014, 0223, 0314, 003",,Technische Universität Darmstadt,tu-darmstadt,https://upload.wikimedia.org/wikipedia/de/archive/2/24/20100612200242!TU_Darmstadt_Logo.svg,"Die Technische Universität Darmstadt (kurz TU Darmstadt) ist die erste autonome Universität der Bundesrepublik Deutschland.[1] Mit fast 27.000 Studierenden und 4.500 Beschäftigten, davon ca. 300 Professorinnen und Professoren, zählt sie zu den mittelgroßen Universitäten in Deutschland und gehört dem Universitätsverbund der TU9 an. Seit 2005 ist sie als familienfreundliche Hochschule zertifiziert.",http://www.tu-darmstadt.de/,"https://www.facebook.com/tudarmstadt?fref=ts
https://twitter.com/TUDarmstadt",DE,Darmstadt,,Karolinenplatz 5,64289,presse@tu-darmstadt.de,,,,,,,,,,,,,,,
OpenMichigan,,http://open.umich.edu/sites/default/files/3654/Non-Editable/Open_michigan_sticker-v2.jpg,"Open.Michigan is a University of Michigan initiative that enables faculty, students, and others to share their educational resources and research with the global learning community.",2007, http://open.umich.edu/,"https://twitter.com/open_michigan
https://www.facebook.com/OpenMichigan-94137343500/timeline/
https://www.flickr.com/photos/openmichigan
https://www.youtube.com/user/openmichigan
http://de.slideshare.net/openmichigan/","C - all rights, CC BY, CC BY-NC, CC BY-SA, CC BY-NC-SA ",,open.michigan@umich.edu,en,"5, 6","02, 0731, 04, 0911, 01, 07, 06, 042, 0914, 0215, 0913, 0916, 091, 0312, 0923, ",,University of Michigan,Umich,http://vpcomm.umich.edu/assets/brand/home/logo.png,"The mission of the University of Michigan is to serve the people of Michigan and the world through preeminence in creating, communicating, preserving and applying knowledge, art, and academic values, and in developing leaders and citizens who will challenge the present and enrich the future.",http://umich.edu/,"https://www.facebook.com/universityofmichigan
https://twitter.com/umich
https://www.pinterest.com/uofmichigan/
http://umichstories.tumblr.com/
https://instagram.com/uofmichigan/
https://www.linkedin.com/edu/school?id=18633",US,Ann Arbor,MI,500 S. State Street,48109,info@umich.edu,,,,,,,,,,,,,,,
Organic.Edunet Federation,,http://www.ciard.info/sites/default/files/images/organic_edunet_v0_3.png,"Organic.Edunet is a learning portal which provides access to thousands of quality digital learning resources on organic agriculture, agroecology and other green topics, such as ecology, sustainability, biodiversity, environment and energy.",, http://www.organic-edunet.eu/,"https://www.facebook.com/organic.edunet
https://twitter.com/OrganicEdunet",CC BY-SA,,info@organic-edunet.eu,"ar, en, et, fr, de, el, it, lv, pl, ru, es, tr","2, 3, 5, 6","08, 051, 052, 0231-tr",,Europe's Information Society Thematic Portal,ICT PSP,http://ec.europa.eu/information_society/activities/ict_psp/library/dissemination/img/ict_psp_logo.jpg,"The ICT Policy Support Programme (ICT PSP) is one of the three specific programmes of The Competitiveness and Innovation framework Programme (CIP) and runs for the years 2007-2013.
The ICT PSP aims at stimulating smart sustainable and inclusive growth by accelerating the wider uptake and best use of innovative digital technologies and content by citizens, governments and businesses.
It provides EU funding to support the realisation of the Digital agenda for Europe.",http://ec.europa.eu/information_society/activities/ict_psp/index_en.htm,,BE,Brussels,,European Commission - Directorate-General Information Society and Media,1049,cnect-ict-psp@ec.europa.eu,,Organic.Edunet is partially funded under the ICT Policy Support Programme (ICT PSP) as part of the Competitiveness and Innovation Framework Programme by the European Community,,,,,,,,,,,,,
